listing_id,host_id,number_of_reviews
2515,2758,148
2595,2845,20
3647,4632,0
3831,4869,112
4611,5926,93
5107,7332,60
5121,7356,50
5172,7386,53
5178,8967,327
5203,7490,106
5238,7549,139
5270,7626,220
5441,7989,111
5803,9744,133
5857,10176,89
5945,4267,64
6848,15991,71
6990,16800,193
7036,53179,4
7097,17571,116
7322,18946,200
7801,21207,10
7816,21286,12
7852,7367,1
8024,22486,86
8025,22486,23
8110,22486,42
8225,2758,112
8270,23843,16
8343,24222,10
8371,24375,1
8490,25183,41
9357,30193,53
9518,31374,63
9657,21904,18
9668,32294,202
9704,32045,43
9782,32169,159
9783,32294,219
10423,36017,94
10452,35935,65
10962,9744,127
11174,40979,52
11708,44145,125
11900,45016,125
11943,45445,0
12048,7549,161
12192,46978,197
12299,47610,3
12303,47618,24
12318,16800,62
12382,48247,170
12579,49366,15
12596,62745,79
12937,50124,148
12940,50148,42
13050,50846,11
13076,50912,8
13121,27848,60
13362,52043,60
13380,52233,5
13394,52335,106
13414,52451,43
13488,52751,91
13552,7612,111
13808,54275,72
14287,56094,23
14290,56104,42
14314,56246,71
14322,56284,7
14374,2339,145
14434,7356,57
14435,56793,22
14468,56909,0
14694,55469,6
14699,55469,3
14708,55469,7
14991,59023,14
15110,3647,4
15220,59734,164
15230,59777,9
15239,16179,2
15338,32169,106
15345,60089,98
15385,60252,20
15491,59777,5
15493,59777,24
15509,59777,14
15711,61491,42
15729,61531,21
15944,62352,56
15962,62407,58
16008,62132,38
16056,62687,13
16076,9253,34
16089,656594,118
16326,63588,104
16338,63613,25
16422,63945,32
16425,63955,4
16580,64442,163
16595,64522,93
16737,65059,260
16821,4396,50
16866,65421,8
16971,65823,35
16974,65837,124
16990,59777,5
17052,66087,54
17092,66243,11
17135,66397,48
17226,4267,33
17240,59777,21
17297,67105,37
17298,67105,23
17299,67105,34
17453,67744,0
17454,7230,7
17693,68428,1
17747,68599,53
18127,69829,17
18195,70091,12
18590,71512,98
18728,71876,115
18764,72014,55
19159,73051,47
19169,73128,56
19319,44263,77
19601,74303,25
19812,74857,49
20299,62407,135
20300,76627,2
20611,72014,133
20724,961342,16
20734,78460,59
20793,42756,283
20853,79070,7
21218,42756,356
21220,42756,280
21293,44145,63
21530,82260,119
21644,82685,0
21794,83257,22
22250,85351,0
22911,87773,134
23135,11481,164
23265,49236,134
23269,49236,44
23481,91960,77
23501,63318,68
23545,92411,167
23686,93790,23
24143,97219,242
24189,3115758,37
24261,97797,23
24266,97797,33
24269,97797,43
24281,97797,52
24285,97797,54
24686,100572,33
25192,104001,0
25235,87773,117
25406,105538,25
25696,107628,108
26012,109589,18
26362,59734,230
26520,51038,11
26590,112983,15
26785,42273,334
26864,114590,5
26933,72062,5
26969,115307,227
27006,115560,17
27024,3227,263
27385,72062,69
27531,118971,260
27644,119510,117
27659,119588,6
27759,119900,9
27883,120223,25
28083,120952,35
28224,121427,92
28321,65091,3
28327,121436,54
28342,121809,12
28396,6197784,10
28907,124352,17
29012,124797,35
29013,35935,49
29187,44263,2
29594,127428,19
29628,127608,181
29683,125857,45
30031,129352,130
30222,130293,135
30589,131716,82
30970,132918,146
31130,117287,25
31332,134516,4
31425,100956,79
31555,135619,15
31902,137292,1
31994,137814,329
32023,137974,143
32037,116599,55
32100,138579,2
32244,111921,31
32289,139612,8
32329,139853,3
32331,139874,4
32965,137974,72
33009,143027,175
33071,143388,57
33156,128669,19
33223,72014,141
34760,149929,0
34824,150105,15
35555,128931,4
35950,154332,28
35963,154377,12
36069,154787,11
36133,142684,112
36442,137432,2
36647,157798,31
36934,159370,21
37106,150715,10
37197,160605,43
37214,160671,10
38638,92788,105
38663,165789,18
38667,78127,93
38780,134505,38
38833,166532,132
39267,168417,154
39282,168525,153
39572,169927,22
39586,12220,172
39704,170510,252
40039,171851,14
40248,172907,1
40453,174025,4
41348,180083,45
41386,180380,7
41481,95539,0
41513,181167,2
41959,140272,193
42300,184755,53
42580,137814,194
42729,11481,92
42882,185978,140
43860,524333,67
43957,177536,5
44096,190409,95
44161,193360,193
44212,72062,44
44221,193722,87
44229,181376,148
44288,193637,69
44472,170703,16
44619,78127,135
44698,196764,104
45556,67778,101
45689,203103,191
45910,204539,8
45936,867225,91
45940,204724,6
46544,8198,43
46723,209460,110
46859,59777,5
46911,210746,39
47199,212722,127
47362,214148,30
47370,214287,3
47691,1215588,21
48620,221373,0
48719,221873,63
49715,226986,106
50447,9744,96
50541,232066,21
50726,221843,3
51485,236655,188
51510,236846,177
51533,161581,2
51572,237329,243
51778,172137,23
51850,27848,49
51852,27848,57
52123,240834,28
52549,172137,17
52757,244497,28
53016,246260,49
53137,240360,1
53196,247432,0
53469,204539,33
53470,204539,6
53477,204539,13
53630,250209,50
53926,252323,13
54040,244497,0
54158,10889,223
54453,255583,10
54486,255748,157
54508,210746,60
54544,256161,64
54626,190409,48
54694,27848,59
54846,258054,24
54860,258164,123
55320,261202,60
55467,260709,139
55505,262095,47
55565,247432,46
55587,131716,11
55668,88209,99
55737,263414,72
55857,264100,12
55959,168525,48
56027,265284,18
56467,267593,74
56475,262143,10
56859,256161,131
56894,270364,11
57161,271975,131
57166,272006,11
57297,199392,156
57468,239208,137
57618,274557,52
57754,275578,73
57874,276291,115
57901,276207,7
58059,277379,307
58062,277394,10
58101,277595,155
58208,278237,7
58257,278545,9
58294,278807,12
58467,279797,8
58471,279829,0
58728,281336,1
58729,281343,23
59014,282927,31
59121,204539,1
59431,196764,7
59818,287773,31
60056,240834,47
60084,289271,27
60164,289653,48
60181,128806,30
60182,289810,3
60611,292204,179
60666,256161,120
60680,292630,56
61167,295760,21
61224,291112,30
61470,297666,3
61482,297629,16
61492,297769,124
61747,299370,65
62095,281764,172
62230,302772,26
62264,302936,18
62366,303562,9
62427,303882,41
62430,197755,48
62452,303939,122
62461,303939,83
62465,257306,66
62468,304081,29
62680,305314,64
62787,303939,136
62808,306150,34
62891,306545,145
62903,306605,43
62925,306739,106
63003,307241,55
63299,308875,78
63320,303939,140
63360,307962,274
63373,309329,12
63546,308652,39
63573,310458,9
63588,295128,0
63610,310670,11
63657,170510,198
63693,306545,122
63891,196764,11
64000,312722,8
64107,313317,200
64283,314115,6
64334,314377,109
64361,314562,53
64365,314582,146
64376,196764,52
64504,315286,8
64551,315396,125
64627,7740,115
64672,316013,0
64837,46978,144
64842,316989,48
64984,317687,47
64990,317684,12
65255,318998,19
65268,319092,53
65556,320422,0
65562,320450,2
65615,320761,28
65660,320538,73
65813,321756,11
65834,321934,11
65933,295469,24
66008,322884,22
66161,304493,0
66219,206769,49
66222,206769,33
66251,324460,17
66275,314941,46
66451,325389,8
66718,136227,117
66741,327673,108
66974,329436,23
67130,330488,150
67145,330660,31
67208,331195,306
67299,330347,41
67397,332189,64
67890,196764,5
68099,323517,83
68403,240427,80
68735,342054,25
68765,282655,10
68900,343250,6
68974,281229,134
69262,346366,3
69426,314506,201
69755,26210,98
69894,352168,28
69921,155689,35
70095,353965,72
70128,354330,32
70216,354965,14
70279,61531,39
70609,72062,27
71010,361855,11
71248,363834,28
71384,365153,49
71507,366380,12
71534,366492,132
71970,272651,17
72190,373085,32
72965,33405,30
73586,384654,54
73893,387111,7
74240,389924,54
74478,244444,16
74680,265109,89
74821,394640,44
74860,394752,1
75076,397221,0
75164,397983,53
75167,1420434,31
75635,401696,180
75727,402491,16
75770,205988,37
76081,405467,73
76761,118971,259
77765,417504,24
77799,417741,1
78331,420682,149
78919,422561,6
79067,425506,7
79635,429216,87
79749,429873,6
79782,430188,36
80074,432303,77
80493,434987,112
80684,417504,8
80700,417504,6
80924,438133,12
81739,417504,2
82132,446599,78
82525,449168,127
82549,448312,66
82550,448312,52
82638,449787,176
82928,451545,25
83081,452380,3
83243,453519,161
83544,455446,11
83760,456875,86
83811,457253,120
84010,417504,3
84417,103729,70
84480,313038,0
84659,462776,231
84905,464506,143
85094,322716,3
86215,327900,87
87279,478136,86
87853,480943,180
87987,277125,31
88329,482998,69
89427,116599,0
89621,209460,119
90426,297629,13
90659,491079,1
92894,82930,245
93313,25183,33
93540,501527,6
94035,35375,3
94477,478395,185
94783,473113,71
95747,509341,13
95883,509918,2
96471,116599,10
96474,511993,7
98076,517966,2
98663,520279,18
98724,519554,116
99070,522065,108
99913,506419,16
100002,523218,88
100023,526172,47
100184,526653,23
100186,526805,67
101633,532039,67
102995,178043,28
103161,465278,84
103311,417504,8
105416,540526,23
105790,548817,86
106363,551055,263
106457,5926,46
106647,552679,60
106906,553964,12
107630,306739,175
107690,196764,31
107895,3088389,47
109891,566105,55
110739,568568,46
110784,568788,29
112304,573316,1
112359,571952,54
112435,181376,119
113092,575906,0
113265,314582,179
113945,275582,90
114123,579495,26
114229,314941,30
114969,582598,34
115535,567187,21
115678,127772,199
115748,585166,26
116551,497672,133
116940,209460,151
118061,2248897,33
118680,599354,0
120251,605463,32
121119,608814,10
121473,599002,47
121576,610769,92
123784,617990,56
125053,622460,37
125163,622855,24
125594,308652,71
126067,62812,8
126443,627217,234
126816,620288,3
127387,23276,3
128975,256161,76
131154,275563,87
131699,597085,201
131747,647988,61
131757,648017,201
132570,651390,20
132695,507186,15
133025,653405,53
134224,186549,8
134671,660764,9
135320,663430,23
135393,663764,154
135465,663879,50
135706,665013,10
136493,663384,14
136528,655521,7
136923,669913,45
137303,671423,8
137558,235719,14
137671,673090,17
139207,679037,6
140133,622866,89
140195,683027,88
140237,668326,58
140425,683975,106
140660,684966,76
140973,686147,54
141154,686768,148
141335,687361,29
141890,689661,18
141984,630453,48
144087,616825,11
144148,299755,34
144428,700008,54
144855,701571,50
146726,709334,17
146754,709434,41
147004,710669,3
147006,710669,7
147057,710669,6
147586,709334,47
148201,715807,18
148259,716064,36
148524,717060,7
148568,717220,9
148825,718349,106
149210,178440,0
149287,720320,0
149777,716306,74
150804,726333,6
151199,722320,263
152071,731855,0
152078,731904,12
152259,256161,86
152263,732535,111
152520,733894,44
152783,733627,33
152819,132701,72
152883,735314,195
153405,737585,73
153780,739499,127
153877,739976,117
155158,671139,107
155296,656841,19
157431,756173,52
157442,131005,20
157673,757166,75
158047,758655,27
158061,758441,25
158176,573065,62
158913,762563,4
158955,465589,252
159019,763021,58
159380,764836,39
159749,54275,39
159815,54275,9
159913,759883,0
160609,769247,7
160994,770831,78
161366,733894,32
161394,772300,3
161996,1856604,134
162493,776490,22
162508,776645,15
162565,759163,11
163627,242506,169
163814,627217,177
163836,32169,66
164682,785304,1
165461,867225,47
165824,733894,27
165919,790972,39
166006,791287,153
166541,793620,18
166601,793834,7
166809,754205,65
166983,795640,6
167013,306605,1
167222,22486,9
168042,800764,1
168084,800982,32
168123,720558,78
169002,805344,23
169063,498638,25
169152,806112,84
169306,806214,61
169480,608699,179
169532,807947,27
169556,808006,0
169995,322716,4
170420,812814,15
170847,814964,33
171562,60923,17
172445,602224,51
172499,823006,16
172870,781647,40
173072,826192,29
173151,826459,182
173733,737845,149
173742,829652,82
174563,834053,4
174716,777146,0
174803,159703,81
175069,667770,185
176135,842125,25
176653,844862,27
177540,792601,19
177606,849492,52
179214,857977,27
179428,859218,42
179670,21475,68
179925,861848,4
180201,863303,15
180507,864735,18
180792,864735,20
180822,257885,132
181522,870122,7
181908,871727,38
181972,872121,51
182062,872612,16
182069,39260,42
182095,872805,48
182177,873273,200
182225,873491,0
182649,876054,147
182721,739073,23
182727,750992,20
183609,690190,27
183818,881986,89
184182,883560,21
184638,385970,12
185266,889106,5
185478,889963,67
186178,62165,1
186871,367494,10
187566,279078,109
187611,818487,1
187671,903140,5
187986,904833,2
188087,905708,62
188661,909146,50
188674,909234,62
188803,67778,1
189135,179020,65
189181,912541,1
189732,489400,110
189787,915640,62
190105,915487,39
190735,921500,46
190968,922922,15
190974,874471,118
191075,923915,52
191852,156450,197
193105,936114,33
193333,302936,49
193393,938056,56
193853,48599,19
194154,936830,32
194236,918508,20
195027,947654,10
195123,940724,175
195233,949221,11
195240,949221,22
195578,304493,19
195971,953279,54
195989,611716,131
196010,953565,15
196100,954367,43
